,model,model_accuracy
0,01-ai/yi-34b,0.7615724255804016
1,01-ai/yi-6b,0.6293975217205526
2,01-ai/yi-large-preview,0.8000284859706595F
3,ai21/jamba-1.5-large,0.7823671841618003
4,ai21/jamba-1.5-mini,0.6857285286996154
5,ai21/jamba-instruct,0.6586668565731377
6,allenai/olmo-1.7-7b,0.5284859706594502
7,allenai/olmo-7b,0.2872097991739069
8,anthropic/claude-2.1,0.7315197265346817
9,anthropic/claude-3-5-sonnet-20240620,0.8720267768124199
10,anthropic/claude-3-5-sonnet-20241022,0.8764421022646347
11,anthropic/claude-3-haiku-20240307,0.7299529981484119
12,anthropic/claude-3-opus-20240229,0.8504486540378864
13,anthropic/claude-3-sonnet-20240229,0.7619997151402934
14,anthropic/claude-instant-1.2,0.6835920809001567
15,cohere/command-r,0.6491240564022219
16,cohere/command-r-plus,0.6921378720979917
17,databricks/dbrx-instruct,0.7337273892607891
18,deepseek-ai/deepseek-llm-67b-chat,0.7273180458624128
19,google/gemini-1.0-pro-001,0.695128899017234
20,google/gemini-1.5-flash-001,0.7755305512035323
21,google/gemini-1.5-flash-002,0.740207947585814
22,google/gemini-1.5-flash-preview-0514,0.7746047571571001
23,google/gemini-1.5-pro-001,0.8274462327303803
24,google/gemini-1.5-pro-002,0.8641219199544224
25,google/gemini-1.5-pro-preview-0409,0.8085742771684945
26,google/gemma-2-27b,0.7481128044438115
27,google/gemma-2-9b,0.7042444096282581
28,google/gemma-7b,0.651759008688221
29,google/text-bison@001,0.6784646061814557
30,google/text-unicorn@001,0.779945876655747
31,meta/llama-2-13b,0.5536248397664151
32,meta/llama-2-70b,0.690571143711722
33,meta/llama-2-7b,0.45349665289844754
34,meta/llama-3-70b,0.7867112946873664
35,meta/llama-3-8b,0.6537530266343826
36,meta/llama-3.1-405b-instruct-turbo,0.8490243555049138
37,meta/llama-3.1-70b-instruct-turbo,0.8090727816550349
38,meta/llama-3.1-8b-instruct-turbo,0.5420880216493377
39,meta/llama-3.2-11b-vision-instruct-turbo,0.544509329155391
40,meta/llama-3.2-90b-vision-instruct-turbo,0.8108531548212505
41,microsoft/phi-2,0.5656601623700328
42,microsoft/phi-3-medium-4k-instruct,0.7737501780373166
43,microsoft/phi-3-small-8k-instruct,0.7612875658738072
44,mistralai/mistral-7b-instruct-v0.3,0.5892323030907278
45,mistralai/mistral-7b-v0.1,0.5590371741917106
46,mistralai/mistral-large-2402,0.6744765702891325
47,mistralai/mistral-large-2407,0.806580259222333
48,mistralai/mistral-small-2402,0.6860846033328586
49,mistralai/mixtral-8x22b,0.7733941034040734
50,mistralai/mixtral-8x7b-32kseqlen,0.7069505768409059
51,mistralai/open-mistral-nemo-2407,0.6463466742629255
52,openai/gpt-3.5-turbo-0125,0.6618003133456772
53,openai/gpt-3.5-turbo-0613,0.68238142714713
54,openai/gpt-4-0613,0.840051274747187
55,openai/gpt-4-1106-preview,0.8101410055547643
56,openai/gpt-4-turbo-2024-04-09,0.8193989460190856
57,openai/gpt-4o-2024-05-13,0.848240991311779
58,openai/gpt-4o-2024-08-06,0.8495228599914542
59,openai/gpt-4o-mini-2024-07-18,0.7577268195413759
60,qwen/qwen1.5-110b-chat,0.7743911123771543
61,qwen/qwen1.5-14b,0.6697763851303233
62,qwen/qwen1.5-32b,0.7394245833926791
63,qwen/qwen1.5-72b,0.7740350377439111
64,qwen/qwen1.5-7b,0.6118074348383421
65,qwen/qwen2-72b-instruct,0.8274462327303803
66,qwen/qwen2.5-72b-instruct-turbo,0.8330722119356218
67,qwen/qwen2.5-7b-instruct-turbo,0.7140008545791198
68,snowflake/snowflake-arctic-instruct,0.6636519014385415
69,writer/palmyra-x-004,0.81761857285287
70,writer/palmyra-x-v3,0.7798746617290985
